time,accelX,accelY,accelZ,gyroX,gyroY,gyroZ,compassAngle,gpsX,gpsY,truePosX,truePosY
6.25000,-2.05474,1.55145,5.83026,0.16483,0.06587,0.34515,-2.12474,-87.68874,38.33638,-86.99611,38.75612,-0.10
6.30000,-2.10760,2.19713,5.60921,0.15989,-0.05635,0.34462,-2.14168,-88.03983,38.10926,-87.34961,38.54285,-0.11
6.35000,-1.71022,2.40397,6.12302,0.18914,-0.13750,0.34439,-2.15899,-88.38408,37.88060,-87.69791,38.32643,-0.10
6.40000,-1.37833,5.44024,4.95930,0.02179,-0.23764,0.34019,-2.17654,-88.72129,37.64963,-88.04019,38.10323,-0.10
6.45000,-0.58894,7.32273,7.13547,-0.20138,-0.27924,0.30199,-2.19165,-89.05107,37.41317,-88.37205,37.86620,-0.10
6.50000,0.94669,4.60621,11.77342,-0.31549,-0.20143,0.28773,-2.20573,-89.36908,37.16392,-88.69848,37.62014,-0.10
6.55000,2.13742,1.55406,13.54236,-0.25253,-0.09319,0.28366,-2.21977,-89.67936,36.90307,-89.02366,37.36800,-0.10
6.60000,1.95406,-0.27747,13.80966,-0.07387,0.01132,0.28498,-2.23395,-89.98836,36.63462,-89.34989,37.11174,-0.10
6.65000,0.74574,0.62975,12.65111,0.05191,0.08484,0.28236,-2.24809,-90.30137,36.36276,-89.67440,36.85228,-0.10
6.70000,0.38667,1.87481,10.76068,0.08491,0.10690,0.28134,-2.26222,-90.61580,36.08913,-89.99625,36.58861,-0.10
6.75000,-0.19814,2.69340,9.29111,0.05819,0.09015,0.28060,-2.27631,-90.92886,35.81209,-90.31428,36.32030,-0.10
6.80000,-0.54370,2.84739,8.42936,0.01663,0.05192,0.27645,-2.29027,-91.23802,35.53058,-90.62773,36.04734,-0.10
6.85000,-0.62124,2.66984,8.33434,-0.01182,0.01058,0.27423,-2.30401,-91.54175,35.24452,-90.93653,35.77007,-0.10
6.90000,-0.50689,2.38674,8.72975,-0.01910,-0.02039,0.27269,-2.31768,-91.83986,34.95443,-91.24090,35.48880,-0.10
6.95000,-0.28269,2.24862,9.34789,-0.01247,-0.03494,0.27426,-2.33133,-92.13276,34.66075,-91.54123,35.20370,-0.10
7.00000,-0.04927,2.18065,9.89105,-0.00189,-0.03385,0.27425,-2.34505,-92.42112,34.36366,-91.83767,34.91467,-0.10
7.05000,0.13044,2.16949,10.20912,0.00397,-0.02248,0.27109,-2.35868,-92.70541,34.06298,-92.13030,34.62155,-0.10
7.10000,0.20505,2.17559,10.21189,0.00441,-0.00742,0.26708,-2.37212,-92.98598,33.75850,-92.41917,34.32430,-0.09
7.15000,0.18673,2.16212,10.21268,0.00214,0.00560,0.26192,-2.38533,-93.26299,33.45010,-92.70423,34.02301,-0.09
7.20000,0.10829,2.15564,9.98469,-0.00006,0.01327,0.25926,-2.39834,-93.53641,33.13780,-92.98548,33.71786,-0.09
7.25000,0.01150,2.14249,9.78269,-0.00052,0.01490,0.25708,-2.41124,-93.80615,32.82180,-93.26282,33.40902,-0.09
7.30000,-0.05616,2.09713,9.64208,-0.00065,0.01174,0.25399,-2.42401,-94.07199,32.50227,-93.53618,33.09664,-0.09
7.35000,-0.09506,2.08794,9.59878,-0.00036,0.00633,0.25253,-2.43666,-94.33381,32.17945,-93.80553,32.78087,-0.09
7.40000,-0.09557,2.06923,9.70013,0.00017,0.00101,0.24965,-2.44921,-94.59157,31.85354,-94.07084,32.46177,-0.09
7.45000,-0.07587,2.09124,9.73082,0.00073,-0.00251,0.25041,-2.46169,-94.84519,31.52461,-94.33216,32.13947,-0.09
7.50000,-0.04359,2.06512,9.85657,0.00140,-0.00379,0.24763,-2.47416,-95.09471,31.19271,-94.58937,31.81391,-0.09
7.55000,-0.00677,2.05536,9.85800,0.00066,-0.00315,0.24688,-2.48650,-95.34003,30.85781,-94.84258,31.48519,-0.09
7.60000,0.01368,2.00300,9.88905,0.00020,-0.00141,0.24245,-2.49874,-95.58132,30.51995,-95.09170,31.15330,-0.08
7.65000,0.03351,1.92157,9.79789,-0.00140,0.00046,0.23719,-2.51071,-95.81854,30.17916,-95.33683,30.81833,-0.08
7.70000,0.03088,1.83815,9.83479,-0.00209,0.00191,0.23134,-2.52240,-96.05191,29.83558,-95.57803,30.48040,-0.08
7.75000,0.02622,1.77273,9.77317,-0.00236,0.00258,0.22452,-2.53378,-96.28152,29.48933,-95.81537,30.13963,-0.08
7.80000,0.00197,1.83047,9.82295,-0.00092,0.00269,0.22452,-2.54496,-96.50750,29.14060,-96.04900,29.79624,-0.08
7.85000,-0.01356,1.82366,9.78101,0.00127,0.00224,0.22105,-2.55612,-96.72986,28.78946,-96.27876,29.45025,-0.08
7.90000,-0.01602,1.85781,9.74579,0.00156,0.00153,0.22224,-2.56717,-96.94838,28.43592,-96.50476,29.10177,-0.08
7.95000,-0.03036,1.90683,9.76196,0.00275,0.00097,0.22360,-2.57833,-97.16312,28.08008,-96.72687,28.75084,-0.08
8.00000,-0.01153,1.85231,9.80406,0.00144,0.00041,0.21963,-2.58942,-97.37381,27.72187,-96.94497,28.39740,-0.08
8.05000,0.00926,1.75232,9.76419,-0.00140,0.00007,0.21440,-2.60025,-97.58049,27.36135,-97.15917,28.04152,-0.07
8.10000,0.01778,1.67272,9.76831,-0.00284,0.00008,0.20835,-2.61080,-97.78341,26.99867,-97.36956,27.68331,-0.08
8.15000,-0.00127,1.79566,9.83732,-0.00077,0.00059,0.21306,-2.62129,-97.98271,26.63393,-97.57637,27.32298,-0.08
8.20000,-0.01176,1.78150,9.86529,0.00272,0.00105,0.21150,-2.63195,-98.17838,26.26718,-97.77928,26.96049,0.01
8.25000,0.18341,0.22859,9.81971,-0.01344,-0.00076,0.13498,-2.64106,-98.37004,25.89834,-97.97809,26.59535,0.01
8.30000,0.24191,-0.75593,9.77474,-0.04041,-0.00159,0.06003,-2.64521,-98.55927,25.52809,-98.17419,26.22804,0.00
8.35000,0.10245,-0.66612,9.83526,-0.03539,-0.00021,0.03171,-2.64723,-98.75041,25.15822,-98.36994,25.86033,-0.00
8.40000,0.06920,-0.50011,9.83539,-0.01177,0.00103,0.02068,-2.64842,-98.94325,24.78898,-98.56576,25.49259,-0.01
8.45000,0.05182,-0.13245,9.80664,0.00832,0.00153,0.02302,-2.64946,-99.13735,24.42033,-98.76171,25.12492,-0.01
8.50000,0.03834,0.23398,9.79393,0.01717,0.00138,0.02898,-2.65078,-99.33211,24.05199,-98.95743,24.75713,-0.02
8.55000,0.02958,0.51486,9.80621,0.01514,0.00084,0.03773,-2.65247,-99.52663,23.68353,-99.15261,24.38907,-0.02
8.60000,0.02560,0.64851,9.72042,0.00886,0.00025,0.04533,-2.65460,-99.72025,23.31462,-99.34694,24.02059,-0.02
8.65000,0.02920,0.61183,9.77056,0.00184,-0.00022,0.04808,-2.65697,-99.91251,22.94503,-99.54024,23.65159,-0.02
8.70000,0.03262,0.59595,9.80642,-0.00209,-0.00042,0.05333,-2.65951,-100.10335,22.57475,-99.73258,23.28211,-0.03
8.75000,0.02900,0.72223,9.79512,0.00007,-0.00032,0.06462,-2.66247,-100.29293,22.20384,-99.92397,22.91217,-0.04
8.80000,0.02224,0.86303,9.75294,0.00477,-0.00005,0.07761,-2.66608,-100.48107,21.83221,-100.11419,22.54166,-0.03
8.85000,0.02349,0.87678,9.77926,0.00603,0.00015,0.08337,-2.67017,-100.66741,21.45970,-100.30285,22.17040,-0.03
8.90000,0.03525,0.75213,9.84279,0.00192,0.00014,0.08098,-2.67431,-100.85176,21.08624,-100.48981,21.79829,-0.03
8.95000,0.03482,0.77988,9.83352,-0.00132,0.00015,0.08443,-2.67842,-101.03432,20.71191,-100.67528,21.42542,-0.04
9.00000,0.02127,0.92631,9.75450,0.00117,0.00029,0.09362,-2.68289,-101.21529,20.33680,-100.85923,21.05184,-0.04
9.05000,0.01382,1.02166,9.78462,0.00459,0.00040,0.10268,-2.68784,-101.39433,19.96079,-101.04141,20.67744,-0.05
9.10000,0.01095,1.11704,9.82928,0.00571,0.00042,0.11129,-2.69323,-101.57115,19.58377,-101.22163,20.30215,-0.04
9.15000,0.01545,1.09635,9.79807,0.00404,0.00030,0.11361,-2.69889,-101.74555,19.20566,-101.39963,19.92583,-0.05
9.20000,0.01311,1.19147,9.82023,0.00213,0.00026,0.12235,-2.70479,-101.91743,18.82644,-101.57550,19.54855,-0.05
9.25000,0.00415,1.26075,9.77631,0.00309,0.00031,0.12864,-2.71111,-102.08682,18.44612,-101.74898,19.17023,-0.06
9.30000,0.00046,1.35949,9.74551,0.00371,0.00040,0.13924,-2.71783,-102.25337,18.06459,-101.92003,18.79085,-0.06
9.35000,-0.00887,1.45386,9.76064,0.00516,0.00051,0.14806,-2.72507,-102.41701,17.68185,-102.08836,18.41034,-0.06
9.40000,-0.01046,1.53330,9.83514,0.00499,0.00057,0.15752,-2.73274,-102.57737,17.29779,-102.25381,18.02865,-0.06
9.45000,-0.00706,1.51521,9.78267,0.00370,0.00051,0.16126,-2.74076,-102.73435,16.91239,-102.41611,17.64567,-0.06
9.50000,0.00980,1.42228,9.81562,0.00029,0.00032,0.16038,-2.74881,-102.88777,16.52562,-102.57521,17.26137,-0.06
9.55000,0.01484,1.38464,9.76319,-0.00178,0.00024,0.16026,-2.75682,-103.03786,16.13757,-102.73118,16.87578,-0.07
9.60000,0.00090,1.47835,9.81274,0.00010,0.00044,0.16692,-2.76499,-103.18479,15.74831,-102.88415,16.48901,-0.07
9.65000,-0.02195,1.67247,9.75424,0.00479,0.00081,0.17823,-2.77365,-103.32847,15.35784,-103.03394,16.10108,-0.07
9.70000,-0.02773,1.74141,9.81792,0.00720,0.00098,0.18606,-2.78282,-103.46846,14.96609,-103.18020,15.71191,-0.08
9.75000,-0.02534,1.82131,9.86150,0.00592,0.00094,0.19354,-2.79234,-103.60441,14.57300,-103.32276,15.32144,-0.08
9.80000,-0.02632,1.85290,9.80805,0.00391,0.00084,0.19864,-2.80218,-103.73621,14.17856,-103.46142,14.92964,-0.08
9.85000,-0.02567,1.88229,9.87091,0.00217,0.00075,0.20446,-2.81228,-103.86369,13.78277,-103.59612,14.53653,-0.08
